date,y
2015-07-01,4542.0
2015-07-02,4362.0
2015-07-03,3640.0
2015-07-04,2928.0
2015-07-05,3254.0
2015-07-06,4344.0
2015-07-07,4147.0
2015-07-08,4546.0
2015-07-09,4564.0
2015-07-10,3971.0
2015-07-11,2942.0
2015-07-12,3622.0
2015-07-13,4116.0
2015-07-14,3974.0
2015-07-15,3937.0
2015-07-16,3952.0
2015-07-17,3666.0
2015-07-18,3268.0
2015-07-19,3126.0
2015-07-20,4900.0
2015-07-21,4333.0
2015-07-22,4125.0
2015-07-23,4276.0
2015-07-24,3770.0
2015-07-25,2824.0
2015-07-26,3608.0
2015-07-27,4304.0
2015-07-28,4377.0
2015-07-29,4387.0
2015-07-30,4244.0
2015-07-31,4040.0
2015-08-01,3350.0
2015-08-02,3254.0
2015-08-03,3855.0
2015-08-04,4449.0
2015-08-05,4284.0
2015-08-06,4191.0
2015-08-07,3760.0
2015-08-08,3271.0
2015-08-09,3578.0
2015-08-10,4007.0
2015-08-11,4642.0
2015-08-12,4492.0
2015-08-13,4352.0
2015-08-14,3638.0
2015-08-15,3383.0
2015-08-16,3696.0
2015-08-17,4437.0
2015-08-18,4654.0
2015-08-19,4545.0
2015-08-20,4909.0
2015-08-21,4514.0
2015-08-22,4577.0
2015-08-23,3531.0
2015-08-24,4575.0
2015-08-25,5060.0
2015-08-26,5503.0
2015-08-27,4856.0
2015-08-28,4300.0
2015-08-29,3084.0
2015-08-30,3371.0
2015-08-31,4768.0
2015-09-01,6707.0
2015-09-02,5134.0
2015-09-03,6986.0
2015-09-04,5583.0
2015-09-05,3129.0
2015-09-06,3703.0
2015-09-07,4289.0
2015-09-08,5920.0
2015-09-09,5996.0
2015-09-10,6012.0
2015-09-11,5006.0
2015-09-12,3647.0
2015-09-13,4040.0
2015-09-14,5797.0
2015-09-15,5765.0
2015-09-16,5641.0
2015-09-17,5583.0
2015-09-18,5257.0
2015-09-19,3917.0
2015-09-20,4231.0
2015-09-21,5938.0
2015-09-22,5602.0
2015-09-23,5322.0
2015-09-24,5153.0
2015-09-25,4787.0
2015-09-26,3187.0
2015-09-27,3334.0
2015-09-28,5555.0
2015-09-29,5892.0
2015-09-30,5322.0
2015-10-01,5467.0
2015-10-02,4710.0
2015-10-03,3181.0
2015-10-04,3819.0
2015-10-05,6036.0
2015-10-06,5740.0
2015-10-07,6136.0
2015-10-08,5583.0
2015-10-09,4612.0
2015-10-10,3269.0
2015-10-11,3482.0
2015-10-12,5231.0
2015-10-13,5753.0
2015-10-14,5926.0
2015-10-15,5718.0
2015-10-16,5065.0
2015-10-17,3396.0
2015-10-18,3523.0
2015-10-19,5827.0
2015-10-20,6315.0
2015-10-21,6086.0
2015-10-22,5767.0
2015-10-23,5226.0
2015-10-24,3389.0
2015-10-25,3904.0
2015-10-26,5986.0
2015-10-27,5570.0
2015-10-28,5813.0
2015-10-29,5644.0
2015-10-30,4574.0
2015-10-31,3253.0
2015-11-01,3153.0
2015-11-02,5751.0
2015-11-03,5782.0
2015-11-04,5816.0
2015-11-05,5872.0
2015-11-06,5009.0
2015-11-07,3652.0
2015-11-08,3943.0
2015-11-09,5565.0
2015-11-10,5956.0
2015-11-11,5126.0
2015-11-12,5745.0
2015-11-13,5020.0
2015-11-14,2955.0
2015-11-15,3502.0
2015-11-16,5209.0
2015-11-17,6058.0
2015-11-18,5505.0
2015-11-19,5386.0
2015-11-20,5096.0
2015-11-21,3208.0
2015-11-22,3576.0
2015-11-23,5116.0
2015-11-24,4994.0
2015-11-25,4359.0
2015-11-26,3862.0
2015-11-27,3484.0
2015-11-28,3098.0
2015-11-29,3424.0
2015-11-30,5242.0
2015-12-01,6060.0
2015-12-02,6614.0
2015-12-03,6119.0
2015-12-04,5079.0
2015-12-05,3675.0
2015-12-06,3642.0
2015-12-07,5400.0
2015-12-08,9014.0
